risk_on_put_delta,risk_on_call_delta,risk_off_put_delta,risk_off_call_delta,protection_ratio_risk_on,protection_ratio_risk_off,ladder_tenors,purchase_frequency_days,budget_tiers,final_value,total_return,cagr,max_drawdown,vol,sharpe,score,shares_owned,total_trades
-0.2,0.1,-0.35,0.07,0.6,0.9,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.01}",1005066.3971297045,0.0050663971297044775,0.0012668046269199706,0.04273220640777745,0.015223480387349825,0.09084520639070609,0.0012668046269199706,1100,245
-0.2,0.1,-0.35,0.05,0.6,0.9,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.0075}",1005066.3971297045,0.0050663971297044775,0.0012668046269199706,0.04273220640777745,0.015223480387349825,0.09084520639070609,0.0012668046269199706,1100,245
-0.2,0.1,-0.35,0.05,0.6,0.9,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.01}",1005066.3971297045,0.0050663971297044775,0.0012668046269199706,0.04273220640777745,0.015223480387349825,0.09084520639070609,0.0012668046269199706,1100,245
-0.2,0.1,-0.35,0.07,0.6,0.9,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.0075}",1005066.3971297045,0.0050663971297044775,0.0012668046269199706,0.04273220640777745,0.015223480387349825,0.09084520639070609,0.0012668046269199706,1100,245
-0.2,0.1,-0.35,0.05,0.6,0.8,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.0075}",1004917.0239673649,0.0049170239673649195,0.0012295238338826397,0.04273220640777745,0.015204400627584425,0.08848895156569957,0.0012295238338826397,1100,247
-0.2,0.1,-0.35,0.07,0.6,0.8,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.0075}",1004917.0239673649,0.0049170239673649195,0.0012295238338826397,0.04273220640777745,0.015204400627584425,0.08848895156569957,0.0012295238338826397,1100,247
-0.2,0.1,-0.35,0.05,0.6,0.8,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.01}",1004917.0239673649,0.0049170239673649195,0.0012295238338826397,0.04273220640777745,0.015204400627584425,0.08848895156569957,0.0012295238338826397,1100,247
-0.2,0.1,-0.35,0.07,0.6,0.8,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.01}",1004917.0239673649,0.0049170239673649195,0.0012295238338826397,0.04273220640777745,0.015204400627584425,0.08848895156569957,0.0012295238338826397,1100,247
-0.2,0.1,-0.35,0.07,0.5,0.9,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.0075}",1004895.9045507509,0.004895904550750856,0.0012242524809515931,0.04276050036648476,0.01525510996956449,0.08789993339655403,0.0012242524809515931,1100,245
-0.2,0.1,-0.35,0.05,0.5,0.9,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.0075}",1004895.9045507509,0.004895904550750856,0.0012242524809515931,0.04276050036648476,0.01525510996956449,0.08789993339655403,0.0012242524809515931,1100,245
-0.2,0.1,-0.35,0.07,0.5,0.9,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.01}",1004895.9045507509,0.004895904550750856,0.0012242524809515931,0.04276050036648476,0.01525510996956449,0.08789993339655403,0.0012242524809515931,1100,245
-0.2,0.1,-0.35,0.05,0.5,0.9,"[35, 70, 105]",30,"{'calm': 0.001, 'normal': 0.003, 'stress': 0.01}",1004895.9045507509,0.004895904550750856,0.0012242524809515931,0.04276050036648476,0.01525510996956449,0.08789993339655403,0.0012242524809515931,1100,245
