window,train_start,train_end,test_start,risk_on_put_delta,risk_on_call_delta,risk_off_put_delta,risk_off_call_delta,protection_ratio_risk_on,protection_ratio_risk_off,ladder_tenors,purchase_frequency_days,use_put_spreads,use_call_spreads,min_hedge,budget_tiers,train_cagr,train_max_dd,test_cagr,test_max_dd,test_vol,test_sharpe,score
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.12,-0.25,0.08,0.5,0.8,"[30, 60, 90]",14,False,False,0.4,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.015}",0.009856873611209682,0.004355222290597789,0.0916643325670139,0.015281466819464237,0.03739359933954369,1.574880867025117,0.0916643325670139
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.12,-0.3,0.12,0.4,0.7,"[35, 70, 105]",14,True,False,0.4,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.02}",0.012437847886549669,0.006714823771978928,0.12535874505151634,0.019347110417512612,0.04767807767233008,1.7200718907526953,0.12535874505151634
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.3,0.12,0.3,0.8,"[35, 70, 105]",14,True,False,0.5,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.013895519905628095,0.00823920344216209,0.13261769036916027,0.027858003745517602,0.061541510003312205,1.3794807153135464,0.13261769036916027
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.08,-0.2,0.08,0.4,0.8,"[30, 60, 90]",7,False,False,0.5,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.015}",0.021285825265761282,0.011198008607092426,0.21311489098956837,0.04638487585961587,0.10123559576517072,1.3326200130491033,0.21311489098956837
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.12,-0.2,0.12,0.3,0.7,"[30, 60, 90]",7,False,False,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.023646942126668735,0.013122598985509798,0.2179571791218886,0.04635596075655733,0.10123641910925606,1.3041567480778802,0.2179571791218886
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.15,-0.3,0.12,0.5,0.8,"[35, 70, 105]",14,False,True,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.015}",0.011421241105192603,0.007599179351424785,0.09817837538050678,0.02924255998294745,0.05974261226272031,1.026072651752698,0.09817837538050678
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.08,-0.3,0.12,0.4,0.8,"[35, 70, 105]",10,False,True,0.5,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.02}",0.012094329423521843,0.007870501611958312,0.10643655592052625,0.02974012949611889,0.061918700779698764,1.0806943505978963,0.10643655592052625
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.25,0.08,0.4,0.8,"[35, 70, 105]",7,False,False,0.5,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.015}",0.01945452303038797,0.011237614372307853,0.19594858081195832,0.0466914303174688,0.1013406053612901,1.2438638510530888,0.19594858081195832
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.08,-0.25,0.12,0.5,0.8,"[35, 70, 105]",10,False,True,0.4,"{'calm': 0.005, 'normal': 0.01, 'stress': 0.02}",0.011363555374957368,0.007458937240073329,0.09942469732050596,0.028007663866946277,0.058852675586403,1.0627486072045376,0.09942469732050596
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.12,-0.2,0.12,0.3,0.7,"[30, 60, 90]",7,False,False,0.4,"{'calm': 0.005, 'normal': 0.01, 'stress': 0.02}",0.023318957319747202,0.012071620183870277,0.22820809863527658,0.046398839577965215,0.10127509218582108,1.3954281669587036,0.22820809863527658
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.08,-0.25,0.12,0.3,0.7,"[35, 70, 105]",7,True,False,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.024035076337167727,0.01346746229793139,0.23844345084369434,0.04620218253910873,0.10234598894638466,1.44234448481176,0.23844345084369434
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.15,-0.3,0.12,0.4,0.7,"[30, 60, 90]",10,True,True,0.4,"{'calm': 0.008, 'normal': 0.01, 'stress': 0.015}",0.014105368689002917,0.00923177445723376,0.13511985381023717,0.02885776470932459,0.06376579751178885,1.3583515729703786,0.13511985381023717
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.08,-0.3,0.08,0.5,0.8,"[35, 70, 105]",14,False,False,0.5,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.02}",0.00975311471900886,0.005036325480846675,0.09023019782796693,0.01979103251044384,0.045070134987366915,1.29134151683002,0.09023019782796693
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.15,-0.25,0.12,0.3,0.7,"[35, 70, 105]",14,True,True,0.4,"{'calm': 0.005, 'normal': 0.01, 'stress': 0.02}",0.014213374089220743,0.009333302053256743,0.13335137432023703,0.029507304813506153,0.06437312754720954,1.317129047095389,0.13335137432023703
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.15,-0.2,0.12,0.3,0.7,"[30, 60, 90]",10,True,False,0.4,"{'calm': 0.005, 'normal': 0.01, 'stress': 0.02}",0.013223353701865337,0.007127182883225372,0.13079113646307294,0.0262118115023887,0.05874407583975729,1.4484464865799405,0.13079113646307294
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.15,-0.25,0.08,0.5,0.7,"[35, 70, 105]",14,False,True,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.02}",0.011422180097237389,0.007600867652019977,0.09820846248664727,0.029242498745466458,0.05974543132535775,1.0264372759314242,0.09820846248664727
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.08,-0.2,0.12,0.5,0.7,"[30, 60, 90]",10,True,False,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.015}",0.012440956871824227,0.006722569634780483,0.12537870760709469,0.01936806485785134,0.04772484424097408,1.7186118589103823,0.12537870760709469
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.2,0.12,0.4,0.8,"[35, 70, 105]",7,True,False,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.02}",0.021162589243374885,0.011264810288788151,0.22318478343727421,0.03198782941488199,0.07903929819752803,1.790352553603699,0.22318478343727421
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.25,0.12,0.4,0.7,"[35, 70, 105]",14,False,False,0.4,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.015}",0.010328227900601172,0.005306987143707994,0.09532597732572112,0.017926913810494546,0.038427434099604835,1.5842500721670119,0.09532597732572112
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.08,-0.3,0.08,0.4,0.7,"[30, 60, 90]",10,False,False,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.02}",0.009831514193456181,0.005502861129470617,0.09056721219690567,0.019808271103141137,0.04503314969047259,1.2940843980864587,0.09056721219690567
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.25,0.12,0.5,0.8,"[35, 70, 105]",14,True,True,0.5,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.02}",0.014081550665237197,0.009211929626179668,0.13433165085951448,0.028189620869878695,0.06316738593965691,1.3607829037433457,0.13433165085951448
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.08,-0.2,0.12,0.4,0.8,"[35, 70, 105]",10,False,True,0.5,"{'calm': 0.008, 'normal': 0.01, 'stress': 0.015}",0.012096098688076262,0.00787212914563538,0.10341770296655217,0.028215283552971884,0.05538321644940851,1.1521720988133395,0.10341770296655217
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.15,-0.3,0.08,0.4,0.7,"[35, 70, 105]",14,False,True,0.5,"{'calm': 0.008, 'normal': 0.01, 'stress': 0.02}",0.012067478153746425,0.007937788542900748,0.10316995106426274,0.02821867426157948,0.05538870854774307,1.14954204961743,0.10316995106426274
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.3,0.12,0.3,0.7,"[35, 70, 105]",10,True,False,0.5,"{'calm': 0.008, 'normal': 0.01, 'stress': 0.015}",0.013900164193159537,0.008239161960011142,0.1326547835019647,0.02785760572446269,0.06154377848022575,1.3797410918625292,0.1326547835019647
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.15,-0.3,0.08,0.3,0.7,"[30, 60, 90]",10,False,False,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.015}",0.01328012856591232,0.008015147050874907,0.12059787265648314,0.027925438026772602,0.059847603465263,1.2694812870657777,0.12059787265648314
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.25,0.12,0.3,0.8,"[30, 60, 90]",10,True,False,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.015}",0.013900486922840738,0.008239159077445121,0.13265678624015131,0.02785757808031201,0.0615440730256966,1.3797480453771114,0.13265678624015131
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.15,-0.3,0.08,0.5,0.7,"[30, 60, 90]",10,False,False,0.5,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.015}",0.009914061005214414,0.004350036437134255,0.1006869242660271,0.019666768167343834,0.04541223393555322,1.4807161185644506,0.1006869242660271
