config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-02,2015-01-05,2015-01-05,expiry,3,2058.199951171875,2030,2000,2090,2120,164.36,2835.64,-780.25,-474.73,-27.52,0,0.0,0.0,17.79,19.92,2.13,,,,,2020.58,-1.8278,1.3701,1.545,4,1,2015,-1,CAUTION,0.25,1
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-05,2015-01-06,2015-01-06,expiry,1,2020.5799560546875,1990,1960,2055,2085,190.1,2809.9,187.5,98.63,6.67,1,0.0,0.0,19.92,21.12,1.2,,,,,2002.61,-0.8893,1.5134,1.7035,0,1,2015,-1,CAUTION,0.25,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-05,2015-01-07,2015-01-07,expiry,2,2020.5799560546875,1975,1945,2070,2100,231.24,2768.76,228.64,98.88,8.26,1,41.0,0.0,19.92,19.31,-0.61,,,,,2025.9,0.2633,2.2558,2.4458,0,1,2015,-1,CAUTION,0.25,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-05,2015-01-07,2015-01-08,profit_target,2,2020.5799560546875,1965,1935,2080,2110,276.31,2723.69,212.9,77.05,7.82,1,258.1,-0.65,19.92,19.31,-0.61,,,,,2025.9,0.2633,2.7507,2.9407,0,1,2015,-1,CAUTION,0.25,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-06,2015-01-08,2015-01-09,stop_loss,2,2002.6099853515625,1945,1915,2065,2095,291.23,2708.77,-446.95,-153.47,-16.5,0,71.6,-401.75,21.12,17.01,-4.11,,,,,2062.14,2.9726,2.8767,3.1154,1,1,2015,-1,CAUTION,0.25,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-09,2015-01-12,2015-01-12,expiry,3,2044.81005859375,2015,1985,2075,2105,148.84,2851.16,146.24,98.25,5.13,1,0.0,0.0,17.55,19.6,2.05,,,,,2028.26,-0.8094,1.4578,1.4764,4,1,2015,-1,CAUTION,0.25,6
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-12,2015-01-13,2015-01-13,expiry,1,2028.260009765625,1995,1965,2060,2090,179.87,2820.13,177.27,98.55,6.29,1,0.0,0.0,19.6,20.56,0.96,,,,,2023.03,-0.2579,1.6398,1.5649,0,1,2015,-1,CAUTION,0.25,7
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-12,2015-01-13,2015-01-14,profit_target,1,2028.260009765625,1985,1955,2075,2105,260.05,2739.95,113.16,43.51,4.13,1,158.36,0.0,19.6,20.56,0.96,,,,,2023.03,-0.2579,2.1329,2.3044,0,1,2015,-1,CAUTION,0.25,7
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-12,2015-01-14,2015-01-15,profit_target,2,2028.260009765625,1975,1945,2085,2115,300.9,2699.1,149.77,49.77,5.55,1,194.97,0.0,19.6,21.48,1.88,,,,,2011.27,-0.8377,2.6259,2.7975,0,1,2015,-1,CAUTION,0.25,7
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-13,2015-01-16,2015-01-16,expiry,3,2023.030029296875,1965,1935,2085,2115,273.94,2726.06,271.34,99.05,9.95,1,62.66,0.0,20.56,20.95,0.39,,,,,2019.42,-0.1784,2.8685,3.0632,1,1,2015,-1,CAUTION,0.25,8
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-16,2015-01-19,2015-01-19,expiry,3,2019.4200439453125,1985,1955,2055,2085,183.09,2816.91,180.49,98.58,6.41,1,0.0,0.0,20.95,20.95,0.0,,,,,2019.42,0.0,1.7045,1.7619,4,1,2015,-1,BEAR,0.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-20,2015-01-23,2015-01-23,expiry,3,2022.550048828125,1970,1940,2080,2110,313.82,2686.18,311.22,99.17,11.59,1,155.64,0.0,19.89,16.66,-3.23,,,,,2051.82,1.4472,2.5982,2.8405,1,1,2015,-1,BEAR,0.0,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-01-23,2015-01-26,2015-01-26,expiry,3,2051.820068359375,2025,1995,2080,2110,160.92,2839.08,158.32,98.38,5.58,1,0.0,0.0,16.66,15.52,-1.14,,,,,2057.09,0.2568,1.3071,1.3734,4,1,2015,-1,CAUTION,0.25,3
