config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier,label
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-06-26,2015-06-29,2015-06-29,expiry,3,2101.489990234375,2080,2050,2125,2155,160.9,2839.1,-2077.71,-1291.27,-73.18,0,0.0,0.0,14.02,18.85,4.83,2106.72,,0.0,,2057.64,-2.0866,1.0226,1.1187,4,6,2015,-1,CAUTION,0.25,22,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2015-08-17,2015-08-20,2015-08-20,expiry,3,2102.43994140625,2070,2040,2140,2170,285.07,2714.93,-2717.53,-953.27,-100.1,0,59.0,-92.49,13.02,19.14,6.12,2094.71,,1.0,,2035.73,-3.173,1.543,1.7865,0,8,2015,2,CAUTION,0.25,57,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2015-08-17,2015-08-20,2015-08-21,stop_loss,3,2102.43994140625,2065,2035,2145,2175,326.77,2673.23,-1829.34,-559.82,-68.43,0,26.53,-1784.14,13.02,19.14,6.12,2094.71,,1.0,,2035.73,-3.173,1.7808,2.0243,0,8,2015,2,CAUTION,0.25,57,LOSS
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-08-17,2015-08-20,2015-08-20,expiry,3,2102.43994140625,2065,2035,2145,2175,191.85,2808.15,-2737.75,-1426.99,-97.49,0,41.47,-59.85,13.02,19.14,6.12,2094.71,,1.0,,2035.73,-3.173,1.7808,2.0243,0,8,2015,2,CAUTION,0.25,57,LOSS
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-08-18,2015-08-20,2015-08-21,stop_loss,2,2096.919921875,2060,2030,2140,2170,240.18,2759.82,-1708.78,-711.47,-61.92,0,0.0,-1663.58,13.79,19.14,5.35,2095.06,,1.0,,2035.73,-2.9181,1.7607,2.0544,1,8,2015,2,CAUTION,0.25,58,LOSS
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-08-21,2015-08-24,2015-08-24,expiry,3,1970.8900146484375,1925,1895,2015,2045,243.53,2756.47,-2759.07,-1132.97,-100.09,0,0.0,0.0,28.03,40.74,12.71,2090.9,,0.0,,1893.21,-3.9414,2.3284,2.2381,4,8,2015,-3,BEAR,0.0,1,LOSS
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2015-09-02,2015-09-08,2015-09-11,profit_target,6,1948.8599853515625,1855,1805,2055,2105,692.53,4307.47,493.59,71.27,11.46,1,538.79,0.0,26.09,24.9,-1.19,2064.08,,0.0,,1969.41,1.0545,4.8161,5.4463,2,9,2015,-2,BEAR,0.0,9,WIN
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2015-09-23,2015-09-30,2015-10-02,profit_target,7,1938.760009765625,1860,1810,2030,2080,621.88,4378.12,444.71,71.51,10.16,1,489.91,-603.02,22.13,24.5,2.37,2030.08,,0.0,,1920.03,-0.9661,4.0624,4.7061,2,9,2015,-1,CAUTION,0.25,1,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2015-12-16,2015-12-18,2015-12-21,stop_loss,2,2073.070068359375,2030,2000,2125,2155,355.35,2644.65,-1580.74,-444.84,-59.77,0,0.0,-1535.54,17.86,20.7,2.84,2060.62,2062.33,1.0,1.0,2005.55,-3.257,2.0776,2.505,2,12,2015,3,BEAR,0.0,4,LOSS
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2016-01-05,2016-01-07,2016-01-08,stop_loss,2,2016.7099609375,1965,1935,2075,2105,282.62,2717.38,-1513.74,-535.6,-55.71,0,0.0,-1468.54,19.34,24.99,5.65,2066.06,2060.31,0.0,0.0,1943.09,-3.6505,2.5641,2.8904,1,1,2016,-1,CAUTION,0.25,12,LOSS
