contract_id,symbol,expiration,strike,type,last_price,mark,bid,ask,bid_size,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY250915C00500000,SPY,2025-09-15,500.0,call,160.02,160.39,158.99,161.79,50,10,1,13,2025-09-15,0.01976,1.0,0.0,-0.05931,0.0,0.0137
SPY250915P00500000,SPY,2025-09-15,500.0,put,0.0,0.01,0.0,0.01,0,3780,0,22,2025-09-15,1.67825,-0.00064,4e-05,-0.06454,0.00077,-1e-05
SPY250915C00501000,SPY,2025-09-15,501.0,call,159.05,159.39,157.99,160.79,50,10,1,0,2025-09-15,0.01976,1.0,0.0,-0.05943,0.0,0.01372
SPY250915P00501000,SPY,2025-09-15,501.0,put,0.0,0.01,0.0,0.01,0,182,0,1,2025-09-15,1.65874,-0.00061,4e-05,-0.061,0.00074,-1e-05
SPY250915C00502000,SPY,2025-09-15,502.0,call,158.02,158.38,156.99,159.78,60,1,3,0,2025-09-15,0.01976,1.0,0.0,-0.05955,0.0,0.01375
SPY250915P00502000,SPY,2025-09-15,502.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.65874,-0.00066,4e-05,-0.06569,0.00079,-1e-05
SPY250915C00503000,SPY,2025-09-15,503.0,call,157.04,157.4,155.99,158.8,60,21,3,0,2025-09-15,0.01976,1.0,0.0,-0.05966,0.0,0.01378
SPY250915P00503000,SPY,2025-09-15,503.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.63923,-0.00063,4e-05,-0.06205,0.00076,-1e-05
SPY250915C00504000,SPY,2025-09-15,504.0,call,154.49,156.38,154.99,157.78,50,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.05978,0.0,0.01381
SPY250915P00504000,SPY,2025-09-15,504.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.63923,-0.00068,4e-05,-0.06685,0.00082,-1e-05
SPY250915C00505000,SPY,2025-09-15,505.0,call,154.84,155.38,153.99,156.78,60,1,3,0,2025-09-15,0.01976,1.0,0.0,-0.0599,0.0,0.01383
SPY250915P00505000,SPY,2025-09-15,505.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.61972,-0.00065,4e-05,-0.06311,0.00078,-1e-05
SPY250915C00506000,SPY,2025-09-15,506.0,call,153.86,154.39,152.99,155.79,50,10,3,0,2025-09-15,0.01976,1.0,0.0,-0.06002,0.0,0.01386
SPY250915P00506000,SPY,2025-09-15,506.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.60021,-0.00061,4e-05,-0.05949,0.00074,-1e-05
SPY250915C00507000,SPY,2025-09-15,507.0,call,0.0,153.38,151.99,154.78,50,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06014,0.0,0.01389
SPY250915P00507000,SPY,2025-09-15,507.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.60021,-0.00067,4e-05,-0.06418,0.0008,-1e-05
SPY250915C00508000,SPY,2025-09-15,508.0,call,0.0,152.39,150.99,153.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06026,0.0,0.01392
SPY250915P00508000,SPY,2025-09-15,508.0,put,0.0,0.01,0.0,0.01,0,182,0,1,2025-09-15,1.58069,-0.00063,4e-05,-0.06045,0.00077,-1e-05
SPY250915C00509000,SPY,2025-09-15,509.0,call,0.0,151.4,149.99,152.8,60,21,0,0,2025-09-15,0.01976,1.0,0.0,-0.06038,0.0,0.01394
SPY250915P00509000,SPY,2025-09-15,509.0,put,0.0,0.01,0.0,0.01,0,182,0,17,2025-09-15,1.58069,-0.00069,4e-05,-0.06525,0.00083,-1e-05
SPY250915C00510000,SPY,2025-09-15,510.0,call,147.7,150.38,148.99,151.78,50,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06049,0.0,0.01397
SPY250915P00510000,SPY,2025-09-15,510.0,put,0.0,0.01,0.0,0.01,0,182,0,10,2025-09-15,1.56118,-0.00065,4e-05,-0.06143,0.00079,-1e-05
SPY250915C00511000,SPY,2025-09-15,511.0,call,0.0,149.39,147.99,150.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06061,0.0,0.014
SPY250915P00511000,SPY,2025-09-15,511.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.56118,-0.00071,5e-05,-0.06633,0.00085,-1e-05
SPY250915C00512000,SPY,2025-09-15,512.0,call,0.0,148.39,146.99,149.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06073,0.0,0.01403
SPY250915P00512000,SPY,2025-09-15,512.0,put,0.0,0.01,0.0,0.01,0,182,0,0,2025-09-15,1.54167,-0.00067,4e-05,-0.06241,0.00081,-1e-05
SPY250915C00513000,SPY,2025-09-15,513.0,call,148.04,147.39,145.99,148.79,50,10,1,0,2025-09-15,0.01976,1.0,0.0,-0.06085,0.0,0.01405
SPY250915P00513000,SPY,2025-09-15,513.0,put,0.0,0.01,0.0,0.01,0,182,0,144,2025-09-15,1.54167,-0.00073,5e-05,-0.06742,0.00088,-1e-05
SPY250915C00514000,SPY,2025-09-15,514.0,call,147.07,146.38,144.99,147.78,50,1,1,0,2025-09-15,0.01976,1.0,0.0,-0.06097,0.0,0.01408
SPY250915P00514000,SPY,2025-09-15,514.0,put,0.0,0.01,0.0,0.01,0,182,0,444,2025-09-15,1.52216,-0.0007,5e-05,-0.06339,0.00083,-1e-05
SPY250915C00515000,SPY,2025-09-15,515.0,call,0.0,145.4,143.99,146.8,60,21,0,0,2025-09-15,0.01976,1.0,0.0,-0.06109,0.0,0.01411
SPY250915P00515000,SPY,2025-09-15,515.0,put,0.0,0.01,0.0,0.01,0,182,0,992,2025-09-15,1.50265,-0.00066,4e-05,-0.0595,0.00079,-1e-05
SPY250915C00516000,SPY,2025-09-15,516.0,call,0.0,144.38,142.99,145.78,60,1,0,0,2025-09-15,0.01976,1.0,0.0,-0.06121,0.0,0.01414
SPY250915P00516000,SPY,2025-09-15,516.0,put,0.0,0.01,0.0,0.01,0,182,0,992,2025-09-15,1.50265,-0.00072,5e-05,-0.06438,0.00086,-1e-05
SPY250915C00517000,SPY,2025-09-15,517.0,call,0.0,143.39,141.99,144.79,50,10,0,0,2025-09-15,0.01976,1.0,0.0,-0.06132,0.0,0.01416
